City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Butaritari,KI,3.0707,172.7902,82.13,76,18,19.93,light rain
79,Okha,RU,53.5739,142.9478,3.42,92,100,19.1,overcast clouds
80,Te Anau,NZ,-45.4167,167.7167,49.05,76,29,5.44,scattered clouds
81,Healdsburg,US,38.6105,-122.8692,68.86,49,0,3.44,clear sky
82,Thompson,CA,55.7435,-97.8558,-11.04,58,20,8.05,few clouds
83,Gbadolite,CD,4.2833,21.0167,77.79,28,59,3.02,broken clouds
84,Nome,US,64.5011,-165.4064,6.87,56,0,11.5,clear sky
85,Binika,IN,21.0333,83.8,60.6,38,1,5.95,clear sky
86,Marienburg,PL,54.0359,19.0266,43.12,90,100,15.35,overcast clouds
87,Nizhnyaya Tavda,RU,57.6731,66.1725,21.42,93,100,6.91,overcast clouds
88,Maceio,BR,-9.6658,-35.7353,83.64,61,40,14.97,scattered clouds
89,Gazojak,TM,41.1875,61.4036,43.05,45,16,15.26,few clouds
90,Sitka,US,57.0531,-135.33,42.69,87,100,11.5,light rain
91,Qaanaaq,GL,77.484,-69.3632,-2.94,68,100,8.55,overcast clouds
92,Cabo San Lucas,MX,22.8909,-109.9124,75.61,50,0,3.0,clear sky
93,Cape Town,ZA,-33.9258,18.4232,68.34,63,0,5.99,clear sky
94,Mopipi,BW,-21.1833,24.8833,79.38,52,56,5.06,broken clouds
95,Kavaratti,IN,10.5669,72.642,78.46,61,100,8.1,overcast clouds
96,Yoichi,JP,43.2039,140.7703,22.03,79,100,6.67,light snow
97,Pangnirtung,CA,66.1451,-65.7125,-18.4,63,75,2.3,broken clouds
98,Moerai,PF,-22.4333,-151.3333,78.58,77,58,16.67,light rain
99,Yurty,RU,56.0498,97.6348,6.37,95,98,4.21,overcast clouds
100,Namibe,AO,-15.1961,12.1522,72.95,74,97,8.66,overcast clouds
101,Biak,ID,-0.9131,122.8766,75.61,85,99,3.65,overcast clouds
102,Salalah,OM,17.0151,54.0924,73.49,64,20,3.44,few clouds
103,Balsas,BR,-7.5325,-46.0356,82.36,72,98,3.27,overcast clouds
104,Hermanus,ZA,-34.4187,19.2345,63.81,66,0,18.88,clear sky
105,Beira,MZ,-19.8436,34.8389,82.49,83,40,12.66,scattered clouds
106,Chuy,UY,-33.6971,-53.4616,77.02,80,20,8.39,few clouds
107,Prince Rupert,CA,54.3161,-130.3201,46.09,93,100,6.91,light rain
108,Yulara,AU,-25.2406,130.9889,62.44,63,0,6.91,clear sky
109,Rocha,UY,-34.4833,-54.3333,74.66,73,32,10.22,scattered clouds
110,New Norfolk,AU,-42.7826,147.0587,58.91,77,42,1.01,scattered clouds
111,Jeremie,HT,18.65,-74.1167,79.86,66,10,6.31,clear sky
112,Crestview,US,30.7621,-86.5705,47.34,85,100,5.99,overcast clouds
113,Lebu,CL,-37.6167,-73.65,62.58,77,1,18.23,clear sky
114,Ancud,CL,-41.8697,-73.8203,70.23,70,87,9.66,overcast clouds
115,Kaitangata,NZ,-46.2817,169.8464,53.92,64,76,6.44,broken clouds
116,Akom,CM,2.6678,12.7109,70.5,47,85,1.5,overcast clouds
117,Taitung,TW,22.7583,121.1444,60.73,83,44,12.33,scattered clouds
118,Natal,BR,-5.795,-35.2094,83.05,78,75,12.66,broken clouds
119,Pisco,PE,-13.7,-76.2167,77.05,61,0,20.71,clear sky
120,Padang,ID,-0.9492,100.3543,75.38,91,100,3.49,overcast clouds
121,Kodiak,US,57.79,-152.4072,33.31,86,100,5.75,overcast clouds
122,Dalby,AU,-27.1833,151.2667,64.98,82,0,15.19,clear sky
123,Hohhot,CN,40.8106,111.6522,-0.11,71,0,4.47,clear sky
124,Namatanai,PG,-3.6667,152.4333,80.78,78,97,7.85,overcast clouds
125,Templin,DE,53.1186,13.5022,46.15,92,100,16.49,moderate rain
126,Nago,JP,26.5881,127.9761,59.43,64,99,14.43,overcast clouds
127,Hithadhoo,MV,-0.6,73.0833,81.64,74,73,10.65,broken clouds
128,Avarua,CK,-21.2078,-159.775,82.45,78,40,13.8,scattered clouds
129,San Angelo,US,31.4638,-100.437,36.64,59,0,5.99,clear sky
130,Airai,TL,-8.9266,125.4092,59.99,88,89,2.08,overcast clouds
131,Mezen,RU,65.8522,44.24,-11.06,100,100,4.41,overcast clouds
132,Bathsheba,BB,13.2167,-59.5167,83.01,61,40,14.97,scattered clouds
133,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,78,100,10.27,overcast clouds
134,Tiarei,PF,-17.5333,-149.3333,84.22,77,7,17.4,light rain
135,Yangambi,CD,0.8102,24.4336,72.88,71,100,3.09,overcast clouds
136,East London,ZA,-33.0153,27.9116,68.72,84,100,8.03,light rain
137,Yuncheng,CN,35.0231,110.9928,27.43,50,13,4.61,few clouds
138,Ostrovnoy,RU,68.0531,39.5131,7.21,92,100,13.94,overcast clouds
139,Nemuro,JP,43.3236,145.575,21.49,73,23,13.38,few clouds
140,Mount Pleasant,US,32.7941,-79.8626,74.07,85,75,1.99,broken clouds
141,Luoyang,CN,34.6836,112.4536,31.05,56,3,4.14,clear sky
142,Virginia Beach,US,36.8529,-75.978,78.85,68,100,19.57,overcast clouds
143,Bubaque,GW,11.2833,-15.8333,78.28,75,5,13.87,clear sky
144,Belmonte,BR,-15.8631,-38.8828,82.9,77,100,12.17,overcast clouds
145,Ilulissat,GL,69.2167,-51.1,15.82,86,100,31.07,shower snow
146,Aasiaat,GL,68.7098,-52.8699,9.46,76,100,24.65,overcast clouds
147,Portland,US,45.5234,-122.6762,49.37,86,100,1.01,overcast clouds
148,Taltal,CL,-25.4,-70.4833,71.06,62,22,7.83,few clouds
149,Ponta Do Sol,PT,32.6667,-17.1,65.71,71,100,0.92,overcast clouds
150,Mount Gambier,AU,-37.8333,140.7667,51.71,93,98,8.05,overcast clouds
151,Morondava,MG,-20.2833,44.2833,82.24,73,43,12.57,scattered clouds
152,Kaputa,ZM,-8.4689,29.6619,66.45,91,100,4.12,overcast clouds
153,Husavik,IS,66.0449,-17.3389,24.71,91,100,10.54,light snow
154,Lavrentiya,RU,65.5833,-171.0,-1.19,59,0,11.88,clear sky
155,Aktash,RU,50.3,87.7333,-18.09,77,2,5.17,clear sky
156,Ahipara,NZ,-35.1667,173.1667,73.9,82,93,14.14,overcast clouds
157,Kisangani,CD,0.5167,25.2,74.16,76,100,3.18,overcast clouds
158,Bertoua,CM,4.5833,13.6833,72.68,25,30,2.33,scattered clouds
159,Saskylakh,RU,71.9167,114.0833,-6.21,99,100,5.28,light snow
160,Umm Lajj,SA,25.0213,37.2685,63.05,46,5,9.73,clear sky
161,Ketchikan,US,55.3422,-131.6461,43.27,100,100,11.5,light rain
162,Shuiji,CN,27.4214,118.345,41.61,87,95,2.71,overcast clouds
163,Broome,US,42.2506,-75.833,22.01,76,100,3.0,snow
164,Saint-Augustin,CA,51.226,-58.6502,0.16,82,100,7.11,overcast clouds
165,Castro,BR,-24.7911,-50.0119,69.21,92,100,6.89,light rain
166,Raudeberg,NO,61.9875,5.1352,38.19,73,100,36.04,overcast clouds
167,Bulanash,RU,57.2783,61.9965,22.12,94,100,5.12,overcast clouds
168,Esperance,AU,-33.8667,121.9,62.44,78,1,14.34,clear sky
169,Sirjan,IR,29.452,55.6814,52.2,33,0,9.33,clear sky
170,Svecha,RU,58.2785,47.5164,15.66,90,100,11.48,light snow
171,Cherskiy,RU,68.75,161.3,-34.62,98,14,3.6,few clouds
172,Kailua,US,21.4022,-157.7394,79.14,62,20,0.0,few clouds
