City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Bayshore Gardens,US,2022-02-02 16:23:58,27.4253,-82.5904,77.16,53,0,24.16
59,Camopi,GF,2022-02-02 16:23:59,3.1655,-52.3158,78.89,92,84,4.5
60,Hilo,US,2022-02-02 16:20:00,19.7297,-155.09,66.61,82,100,9.22
61,Salalah,OM,2022-02-02 16:23:59,17.0151,54.0924,77.09,53,0,2.3
62,Kaitangata,NZ,2022-02-02 16:24:00,-46.2817,169.8464,61.18,99,100,7.14
63,Bethel,US,2022-02-02 16:24:00,41.3712,-73.414,43.09,82,75,5.75
64,Geraldton,AU,2022-02-02 16:24:01,-28.7667,114.6,91.81,18,66,19.57
65,Tasiilaq,GL,2022-02-02 16:24:01,65.6145,-37.6368,15.96,79,100,7.96
66,Khatanga,RU,2022-02-02 16:24:02,71.9667,102.5,-38.74,99,54,1.77
67,Sao Filipe,CV,2022-02-02 16:24:02,14.8961,-24.4956,75.07,69,0,15.9
68,Kita,ML,2022-02-02 16:24:03,13.0349,-9.4895,94.41,5,0,9.69
69,Faanui,PF,2022-02-02 16:24:03,-16.4833,-151.75,81.03,74,22,19.19
70,Hobart,AU,2022-02-02 16:22:32,-42.8794,147.3294,54.05,74,40,1.01
71,Guanajuato,MX,2022-02-02 16:21:14,21.0186,-101.2591,64.33,38,0,7.18
72,Butaritari,KI,2022-02-02 16:24:04,3.0707,172.7902,80.91,82,91,17.36
73,Pontal Do Parana,BR,2022-02-02 16:24:05,-25.6533,-48.5128,96.73,64,17,8.55
74,Puerto Ayora,EC,2022-02-02 16:24:05,-0.7393,-90.3518,82.36,89,49,8.01
75,Brigantine,US,2022-02-02 16:24:06,39.4101,-74.3646,50.02,84,40,0.0
76,Hermanus,ZA,2022-02-02 16:24:06,-34.4187,19.2345,68.9,73,16,23.29
77,Phan Thiet,VN,2022-02-02 16:24:07,10.9333,108.1,73.63,88,73,9.08
78,Bengkulu,ID,2022-02-02 16:24:07,-3.8004,102.2655,76.78,85,94,5.26
79,Padang,ID,2022-02-02 16:24:08,-0.9492,100.3543,79.34,85,99,3.83
80,San Luis,AR,2022-02-02 16:24:09,-33.295,-66.3356,80.65,38,99,14.03
81,Sorland,NO,2022-02-02 16:24:09,67.667,12.6934,30.06,56,100,15.57
82,Ambon,ID,2022-02-02 16:24:10,-3.6954,128.1814,78.94,89,20,2.3
83,Jamestown,US,2022-02-02 16:21:30,42.097,-79.2353,40.59,33,0,11.5
84,Ambilobe,MG,2022-02-02 16:24:11,-13.2,49.05,75.04,92,100,2.04
85,Develi,TR,2022-02-02 16:24:11,38.3906,35.4922,40.35,90,97,12.73
86,Xuanwu,CN,2022-02-02 16:24:11,32.069,118.8138,34.81,97,100,5.21
87,Maltahohe,NA,2022-02-02 16:24:12,-24.8333,16.9833,84.72,24,12,17.83
88,Bluff,NZ,2022-02-02 16:24:13,-46.6,168.3333,56.8,84,100,18.32
89,Krasnoselkup,RU,2022-02-02 16:24:13,65.7,82.4667,-22.04,100,100,5.59
90,Maues,BR,2022-02-02 16:24:13,-3.3836,-57.7186,81.12,87,81,5.41
91,Tay Ninh,VN,2022-02-02 16:23:07,11.3,106.1,77.68,73,5,6.31
92,Tiksi,RU,2022-02-02 16:24:14,71.6872,128.8694,-7.19,100,100,6.13
93,Manutuke,NZ,2022-02-02 16:24:14,-38.6833,177.9167,63.99,88,91,5.79
94,Avera,US,2022-02-02 16:25:15,33.194,-82.5271,58.51,76,100,8.32
95,Salym,RU,2022-02-02 16:25:15,60.0625,71.4789,22.39,89,100,11.34
96,Ukiah,US,2022-02-02 16:25:16,39.1502,-123.2078,51.57,79,0,3.71
97,Alice Springs,AU,2022-02-02 16:21:10,-23.7,133.8833,65.75,94,100,8.05
98,Yumen,CN,2022-02-02 16:25:16,40.2833,97.2,22.26,29,100,2.35
99,Nanortalik,GL,2022-02-02 16:25:17,60.1432,-45.2371,5.83,79,6,16.37
100,Saint George,US,2022-02-02 16:25:18,37.1041,-113.5841,37.87,33,40,3.0
101,Mar Del Plata,AR,2022-02-02 16:21:05,-38.0023,-57.5575,86.02,50,0,11.99
102,Puerto Baquerizo Moreno,EC,2022-02-02 16:22:42,-0.9,-89.6,81.59,74,20,11.5
103,Saint-Philippe,RE,2022-02-02 16:25:18,-21.3585,55.7679,80.19,93,100,30.31
104,Thompson,CA,2022-02-02 16:25:19,55.7435,-97.8558,-25.44,68,0,14.97
105,Sitka,US,2022-02-02 16:25:20,57.0531,-135.33,33.69,93,100,3.44
106,Kulhudhuffushi,MV,2022-02-02 16:25:20,6.6221,73.07,81.7,75,5,8.63
107,Kurumkan,RU,2022-02-02 16:25:20,54.3,110.3,-17.46,93,67,4.16
108,Half Moon Bay,US,2022-02-02 16:25:21,37.4636,-122.4286,56.82,38,0,4.0
109,Ilhabela,BR,2022-02-02 16:24:00,-23.7781,-45.3581,79.2,82,96,4.56
110,Korla,CN,2022-02-02 16:25:21,41.7597,86.1469,24.94,55,8,5.86
111,Chokurdakh,RU,2022-02-02 16:25:22,70.6333,147.9167,-15.92,99,77,7.38
112,Broken Hill,AU,2022-02-02 16:25:22,-31.95,141.4333,62.31,45,0,16.11
113,Chuy,UY,2022-02-02 16:25:23,-33.6971,-53.4616,83.61,45,0,9.13
114,Ocampo,MX,2022-02-02 16:25:23,21.65,-101.5,59.43,23,0,13.87
115,Bredasdorp,ZA,2022-02-02 16:25:24,-34.5322,20.0403,79.92,54,28,12.66
116,Upernavik,GL,2022-02-02 16:25:24,72.7868,-56.1549,-6.66,66,100,6.76
117,Saldanha,ZA,2022-02-02 16:25:25,-33.0117,17.9442,68.05,83,100,11.25
118,Cidreira,BR,2022-02-02 16:25:25,-30.1811,-50.2056,79.77,71,2,13.49
119,Korfez,TR,2022-02-02 16:25:26,40.7767,29.7297,56.1,49,100,13.4
120,Baykit,RU,2022-02-02 16:25:26,61.67,96.37,-4.34,100,100,0.87
